a_city_state_zip,b_city_state_zip,a_clean_name,b_clean_name,level_0,level_1
helenamt59604,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,6,33175
lancasterky40444,lancasterpa17608,lancastercityof,lancastercityofpa,27,40109
lancasterky40444,lancasteroh43130,lancastercityof,lancastercityofoh,27,103232
chestertownmd21620,chestertownmd21620,lamottechemicalproductsco,lamottechemicalproductscoinc,68,56505
atlantaga30309,atlantaga30349,logisticare,logisticareinc,98,984
mirabelquébecquebecj7n1h3,mirabelqcj7n1h3,l3communicationsmascanadainc,l3communicationsmascanadainc,102,61549
helenamt59623,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,143,33175
lewistonme4240,lewistonme04240,lewistoncityof,lewistoncityofme,148,53072
bensalempa19020,bensalempa19020,laminatedmaterialscorporation,laminatedmaterialscorp,154,57815
lancasterpa17608,lancasterpa17608,lancastercityof,lancastercityofpa,172,40109
lancasterpa17608,lancasteroh43130,lancastercityof,lancastercityofoh,172,103232
houstontx77010,houstontx77010,lyondellchemicalcompany,lyondellchemicalco,198,2161
grandrapidsmi49512,grandrapidsmi49512,l3communicationsavionicssystemsinc,l3communicationsavionicssystemsinc,221,58290
southjordanut84095,southjordanut84095,lymanbros,lymanbrosinc,228,5417
markhamontariol3r5y6,markhamonl3r5y6,lyrecocanadainc,lyrecocanadainc,234,126777
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountyofca,242,33516
lexingtonky40507,lexingtonky40507,lexingtonfayetteurbancountygovernment,lexingtonfayetteurbancountygovernmentky,245,60757
lincolnne68508,lincolnne68508,lincolncityof,lincolncityofne,252,33381
losangelesca90020,losangelesca90012,losangelescountyof,losangelescountyofca,255,33516
lebanontn37087,lebanontn37087,lojacinc,lojacinc,287,53643
lasvegasnv89106,lasvegasnv89106,lasvegasmetropolitanpolicedepartment,lasvegasmetropolitanpolicedepartment,292,35354
duluthmn55814,duluthmn55811,lakesuperiorcollege,lakesuperiorcollege,299,58968
losangelesca90063,losangelesca90012,losangelescountyof,losangelescountyofca,309,33516
missoulamt59802,missoulamt59807,landwaterconsultinginc,landwaterconsultinginc,337,28248
duluthmn55803,duluthmn558039427,lakeheadtruckinginc,lakeheadtruckinginc,386,49579
sanantoniotx78224,sanantoniotx782992636,laquintainnsinc,laquintainnsinc,401,9
sanantoniotx78224,sanantoniotx78299,laquintainnsinc,laquintamotorinnsinc,401,10
lavalquébecquebech7t2r2,lavalqch7t2r2,lavallabinc,lavallabinc,482,142756
milanil61264,milanil61264,lewismachinetoolco,lewismachinetoolco,499,50231
kingofprussiapa19406,kingofprussiapa19406,libertypersonnelservicesinc,libertypersonnelservicesinc,512,39155
grandrapidsmi49512,grandrapidsmi49512,l3aviationproductsinc,l3aviationproductsinc,537,186651
saintaugustinefl32080,staugustinefl32080,lexesassociatesinc,lexesassociatesinc,545,114928
citrusheightsca95610,citrusheightsca95610,lilliputchildrensservices,lilliputchildrensservices,559,53302
tustinca92780,tustinca92780,lowmarkupinc,lowmarkupinc,568,177188
saskatoonsaskatchewans7k5w3,saskatoonsks7k8g7,loraasdisposalservicesltd,loraasdisposalservicesltd,614,182676
concordca94520,concordca94520,lifemeasurementsinc,lifemeasurementinc,618,105074
