vendor_id,b_entity_id
144203445,06J95N-E
197249066,080MZH-E
315875569,06R5SD-E
315875569,070QZ4-E
315875569,086C2V-E
315875569,0DNZDC-E
315875569,0DR4T3-E
47164352,0022MF-E
299508848,08B3QQ-E
315685471,0DWR4C-E
143319965,06J95N-E
315034581,07XGHP-E
153037205,083JKH-E
316786480,072DY7-E
316786480,07V04L-E
316786480,0B8KTV-E
315428635,07Y1H6-E
314927762,0025HQ-E
314784113,061828-E
52024690,083RM9-E
21629303,00834D-E
142818965,0D2238-E
54643792,05PLV4-E
54643792,0657CD-E
54643792,06JQTB-E
54643792,06XXDJ-E
54643792,07H2PM-E
54643792,07N1T1-E
54643792,0B67KD-E
54643792,0C2JNG-E
54643792,0FCX3Z-E
54643792,0GZB20-E
152260085,088BVK-E
139919249,06J9JR-E
139919249,0C39MR-E
62021577,05PLV4-E
62021577,0657CD-E
62021577,06JQTB-E
62021577,06XXDJ-E
62021577,07H2PM-E
62021577,07N1T1-E
62021577,0B67KD-E
62021577,0C2JNG-E
62021577,0FCX3Z-E
62021577,0GZB20-E
32409320,0CVL95-E
153389333,07PBB5-E
55138139,07XMZ0-E
50682719,06NLTH-E
142656436,085BSR-E
142656436,0FZXP3-E
55242033,05PLV4-E
55242033,0657CD-E
55242033,06JQTB-E
55242033,06XXDJ-E
55242033,07H2PM-E
55242033,07N1T1-E
55242033,0B67KD-E
55242033,0C2JNG-E
55242033,0FCX3Z-E
55242033,0GZB20-E
156302458,061QV3-E
39122641,07TKLM-E
42681007,088BVK-E
156201233,000NY8-E
156201233,000NY9-E
156177945,05XD89-E
142828826,0DW32M-E
19023602,07V28V-E
19537661,06ZR85-E
139957056,0GQQJM-E
305478817,0H2PJW-E
46774947,07XGB6-E
137913381,0GHYLZ-E
28538821,07R7R0-E
195589341,0BG7CL-E
21949174,06RPKH-E
21949174,074LT3-E
24399865,07CTHB-E
142835218,089S6Y-E
154557798,0FGK8X-E
295576165,0C69TX-E
22971885,07XD16-E
19227711,083KQR-E
178482057,0CVL95-E
21623562,07VG9R-E
21623562,07VG9R-E
27628036,07969X-E
319397943,0G087W-E
272221165,0HB12Y-E
138803719,07VMC0-E
197605088,0GZ8ZD-E
134788942,06XPZG-E
134788942,07P7YD-E
277132002,07VPQP-E
30919401,0B7BNY-E
21892989,0685ZY-E
21892989,068603-E
21892989,07MWB9-E
310334110,064W55-E
23608627,0B5DVW-E
141412646,06JQTB-E
141412646,06XXDJ-E
