a_city_state_zip,b_city_state_zip,a_clean_name,b_clean_name,level_0,level_1
helenamt59604,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,6,33175
chestertownmd21620,chestertownmd21620,lamottechemicalproductsco,lamottechemicalproductscoinc,68,56505
batonrougela70802,batonrougela708214069,louisianacasaassociation,louisianaoilgasassociation,72,36267
batonrougela70802,batonrougela70809,louisianacasaassociation,louisianahospitalassociation,72,39524
batonrougela70802,batonrougela708082608,louisianacasaassociation,louisianabankersassociation,72,59839
batonrougela70802,batonrougela70804,louisianacasaassociation,louisianaretailersassociation,72,139135
batonrougela70802,batonrougela70821,louisianacasaassociation,louisianacasinoassociation,72,140282
atlantaga30309,atlantaga30349,logisticare,logisticareinc,98,984
mirabelquébecquebecj7n1h3,mirabelqcj7n1h3,l3communicationsmascanadainc,l3communicationsmascanadainc,102,61549
lafayetteal36862,lafayettela,lafayettecityof,lafayetteportof,135,143176
helenamt59623,helenamt59623,lewisclarkcountyof,lewisclarkcountyofmt,143,33175
lewistonme4240,lewistonme04240,lewistoncityof,lewistoncityofme,148,53072
bensalempa19020,bensalempa19020,laminatedmaterialscorporation,laminatedmaterialscorp,154,57815
lancasterpa17608,lancasterpa17608,lancastercityof,lancastercityofpa,172,40109
lancasterpa17608,lancasterpa17601,lancastercityof,lancasteroilco,172,50063
lancasterpa17608,lancasterpa17603,lancastercityof,lancastercountyofpa,172,102585
lexingtonnc27292,lexingtonsc29072,lexingtoncityof,lexingtoncountyofsc,195,55118
houstontx77010,houstontx77010,lyondellchemicalcompany,lyondellchemicalco,198,2161
portlandor97219,portlandor97219,lewisandclarkcollege,lewisclarkcollegeor,210,27910
grandrapidsmi49512,grandrapidsmi49512,l3communicationsavionicssystemsinc,l3communicationsavionicssystemsinc,221,58290
southjordanut84095,southjordanut84095,lymanbros,lymanbrosinc,228,5417
markhamontariol3r5y6,markhamonl3r5y6,lyrecocanadainc,lyrecocanadainc,234,126777
losangelesca90012,losangelesca90014,losangelescountyof,losangelescoffeestation,242,21254
losangelesca90012,losangelesca90012,losangelescountyof,losangelescityofca,242,29955
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountyofca,242,33516
losangelesca90012,losangelesca90012,losangelescountyof,losangelescountybarassociation,242,38503
losangelesca90012,losangelesca90027,losangelescountyof,losangeleszoo,242,44209
losangelesca90012,losangelesca90024,losangelescountyof,losangelescountryclub,242,45771
losangelesca90012,losangelesca900172577,losangelescountyof,losangelescountybarfoundation,242,101342
losangelesca90012,losangelesca90071,losangelescountyof,losangelescoalition,242,112569
losangelesca90012,losangelesca90032,losangelescountyof,losangelescountyhighschoolforthearts,242,158866
losangelesca90012,losangelesca90063,losangelescountyof,losangelescountyfiredepartment,242,184730
lexingtonky40507,lexingtonky40507,lexingtonfayetteurbancountygovernment,lexingtonfayetteurbancountygovernmentky,245,60757
lincolnne68508,lincolnne68508,lincolncityof,lincolncityofne,252,33381
lincolnne68508,lincolnne68058,lincolncityof,lincolncountyofne,252,113827
losangelesca90020,losangelesca90014,losangelescountyof,losangelescoffeestation,255,21254
losangelesca90020,losangelesca90012,losangelescountyof,losangelescityofca,255,29955
losangelesca90020,losangelesca90012,losangelescountyof,losangelescountyofca,255,33516
losangelesca90020,losangelesca90012,losangelescountyof,losangelescountybarassociation,255,38503
